# Words removed for being too plain or generic (2026-09-17).
# Not used by the game. Move a line back into scripts/words/ to restore it.
abdicate | verb | To renounce one's throne; to fail to fulfill a duty.
violin | noun | A stringed musical instrument of treble pitch, played with a bow.
viral | adjective | Relating to viruses; spreading rapidly online.
virus | noun | An infective agent; a program that copies itself and corrupts data.
vitamin | noun | An organic compound essential for normal nutrition.
volcano | noun | A mountain with a crater through which lava erupts.
voltmeter | noun | An instrument for measuring electric potential in volts.
voyage | noun | A long journey by sea or in space.
wagon | noun | A four-wheeled vehicle for carrying goods.
walnut | noun | The large wrinkled edible seed of a deciduous tree.
wanderer | noun | A person who travels aimlessly.
wardrobe | noun | A large tall cupboard for hanging clothes.
warehouse | noun | A large building where goods are stored.
wart | noun | A small, hard, benign growth on the skin.
washbasin | noun | A basin used for washing one's hands and face.
wasp | noun | A stinging insect with a narrow waist.
wastebasket | noun | A basket for waste paper.
wasted | adjective | Used to no purpose; extremely drunk.
waterfall | noun | A cascade of water falling from a height.
wattage | noun | An amount of electrical power expressed in watts.
wavelength | noun | The distance between successive crests of a wave; a person's way of thinking.
weary | adjective | Feeling or showing extreme tiredness.
webpage | noun | A document on the World Wide Web.
website | noun | A set of related web pages under a single domain.
wedding | noun | A marriage ceremony.
weird | adjective | Suggesting something supernatural; very strange.
welder | noun | A person who welds metal.
wheelbarrow | noun | A small cart with a single wheel and two handles.
wheeze | verb | To breathe with a whistling or rattling sound.
wherefore | adverb | For what reason.
whilom | adjective | Former; erstwhile.
whilst | conjunction | While (chiefly British).
whisk | noun | A utensil for whipping eggs or cream.
whiskey | noun | A spirit distilled from malted grain.
wicked | adjective | Evil; excellent (slang).
widget | noun | A small gadget or mechanical device; a component of a user interface.
wig | noun | A covering for the head made of real or artificial hair.
wight | noun | A person of a specified kind, especially one regarded as unfortunate.
wilderness | noun | An uncultivated, uninhabited region.
windbreaker | noun | A wind-resistant jacket.
wireless | noun | A radio (dated); using radio or microwaves rather than wires.
wisdom | noun | The quality of having experience, knowledge, and good judgment.
wok | noun | A bowl-shaped frying pan used in Chinese cooking.
workaround | noun | A method for overcoming a problem without eliminating it.
workbench | noun | A bench at which carpentry or other mechanical work is done.
workforce | noun | The people engaged in or available for work.
workplace | noun | A place where people work.
workshop | noun | A room where goods are made or repaired; a meeting for discussion and activity.
worship | noun | The feeling or expression of reverence and adoration for a deity.
wot | verb | Knows (archaic).
wrench | noun | A tool for gripping and turning nuts and bolts; a sudden twisting pull.
wrinkle | noun | A slight line or fold in the skin or fabric.
wristband | noun | A band worn around the wrist.
yank | verb | To pull with a jerk.
yawn | verb | To involuntarily open one's mouth wide and inhale deeply from tiredness.
yogurt | noun | A semi-solid food made from fermented milk.
yon | adjective | Yonder; that.
yonder | adverb | At some distance in the direction indicated.
youngster | noun | A child, young person, or young animal.
zen | noun | A school of Buddhism emphasizing meditation; calm and relaxed.
